id,article,link,alias,feedbackSelection,feedbackInput
75,https://en.wikipedia.org/wiki/Greip_(moon),http://cfa-www.harvard.edu/iauc/08700/08727.html,http://cbat.eps.harvard.edu/iauc/08700/08727.html,Correct,
76,https://en.wikipedia.org/wiki/Greip_(moon),http://cfa-www.harvard.edu/iauc/08800/08873.html,http://cbat.eps.harvard.edu/iauc/08800/08873.html,Correct,
77,https://en.wikipedia.org/wiki/S%C3%A9bastien_Charnoz,http://cfa-www.harvard.edu/iauc/08400/08471.html,http://cbat.eps.harvard.edu/iauc/08400/08471.html,Correct,http://cfa-www.harvard.edu/iauc will be processed by WaybackMedic see: https://en.wikipedia.org/wiki/Wikipedia:Link_rot/URL_change_requests#cfa-www.harvard.edu
78,https://en.wikipedia.org/wiki/Prince_Amukamara,https://www.bleacherreport.com/amp/1310844-prince-amukamara-injury-giants-cb-carted-off-field-with-reported-sprained-ankle.amp.html,https://bleacherreport.com/prince-amukamara,Incorrect,bleacherreport has content drift at the new URL I think.
79,https://en.wikipedia.org/wiki/Clive_Walford,https://www.bleacherreport.com/amp/2664920-clive-walford-injury-updates-on-raiders-tes-knee-and-return.amp.html,https://bleacherreport.com/clive-walford,Incorrect,
80,https://en.wikipedia.org/wiki/Levine_Toilolo,https://www.bleacherreport.com/amp/2588783-jacob-tamme-injury-updates-on-falcons-tes-shoulder-and-return.amp.html,https://bleacherreport.com/jacob-tamme,Incorrect,
81,https://en.wikipedia.org/wiki/Bacary_Sagna,https://www.bleacherreport.com/amp/1529008-bacary-sagna-30-reasons-to-love-the-arsenal-full-back.amp.html,https://bleacherreport.com/bacary-sagna,Incorrect,
82,https://en.wikipedia.org/wiki/Bruce_Irvin,https://www.bleacherreport.com/amp/2576210-bruce-irvin-injury-updates-on-seahawks-stars-knee-and-return.amp.html,https://bleacherreport.com/bruce-irvin,Incorrect,
83,https://en.wikipedia.org/wiki/Aqib_Talib,https://www.bleacherreport.com/amp/2277822-aqib-talib-injury-updates-on-broncos-stars-hamstring-and-return.amp.html,https://bleacherreport.com/aqib-talib,Incorrect,
84,https://en.wikipedia.org/wiki/Chris_Conley_(American_football),https://www.bleacherreport.com/amp/2724884-chris-conley-suffers-achilles-injury-during-chiefs-win-vs-texans-on-snf.amp.html,https://bleacherreport.com/chris-conley,Incorrect,
85,https://en.wikipedia.org/wiki/Paddy_Sloan,https://www.bleacherreport.com/amp/2675573-manchester-united-and-arsenal-the-evolution-of-a-modern-rivalry.amp.html,https://bleacherreport.com/manchester-united,Incorrect,
86,https://en.wikipedia.org/wiki/Paul_Posluszny,https://www.bleacherreport.com/amp/1286232-jacksonville-jaguars-roster-2012-latest-news-cuts-preseason-predictions.html,https://bleacherreport.com/jacksonville-jaguars,Incorrect,
87,https://en.wikipedia.org/wiki/Anthony_Castonzo,https://www.bleacherreport.com/amp/2505454-indianapolis-colts-full-offensive-line-breakdown-and-depth-chart-analysis.amp.html,https://bleacherreport.com/indianapolis-colts,Incorrect,
88,https://en.wikipedia.org/wiki/Bobby_Wagner,https://www.bleacherreport.com/amp/1183983-bobby-wagner-will-compete-to-start-at-middle-linebacker-right-away-for-seahawks.amp.html,https://bleacherreport.com/bobby-wagner,Incorrect,
89,https://en.wikipedia.org/wiki/Geno_Atkins,https://www.bleacherreport.com/amp/1045174-cincinnati-bengals-andy-dalton-aj-green-impress-in-pro-bowl-debut.html,https://bleacherreport.com/cincinnati-bengals,Incorrect,
90,https://en.wikipedia.org/wiki/Byron_Maxwell,https://www.bleacherreport.com/amp/1281029-seattle-seahawks-roster-2012-latest-news-cuts-preseason-predictions.html,https://bleacherreport.com/seattle-seahawks,Incorrect,
91,https://en.wikipedia.org/wiki/Eric_Eskola,http://www.startribune.com/local/93348719.html?elr=KArksUUUoDEy3LGDiO7aiU,http://www.startribune.com/a-dramatic-painting-of-the-collapse-of-the-metrodome-roof/112008359/?elr=KArksUUUoDEy3LGDiO7aiU,Incorrect,
